content,score,label
"Promo tidak berlaku trus hilang, mending ga usah dikasih promo deh kalau miskin",1,negatif
buat belanja mudah dan enak.. sukses terus Tokopedia 🤲😇🙏,5,positif
"promonya nggak bisa dipake, padahal masa promonya belum kadaluarsa",5,positif
Apaan promo ga bisa dipakai,1,negatif
"ga ngerti lagi, sekelas tokped bisa kecolongan, banyak banget akun2 pedangan scam, terutama sembako2an. tolong lebih diperhatikan lagi.",1,negatif
Scam promo,1,negatif
proses nudah dan cepat,5,positif
"males bgt klo versi mobile tu download fitur pasti gagal mulu ""rumah tokopedia gangguan"" dibenerin lahhh, entah karna koneksi gw atau gmna, pdhal dwnld apk aja ngga nympe 30dtik, gw pke dri thn 2022 ampe skrg msh gtu² mulu",1,negatif
Ngasih diskon tapi ga bisa dipakai. lama2 ditinggal penggunanya,1,negatif
𝐛𝐚𝐠𝐮𝐬,5,positif
kenapa saldo dana saya ketarik sm tokopedia padahal saya ga puny apk tokped trs gpunya tunggakan?,2,negatif
sangat membantu,5,positif
"kasih bintang 5 aja.. di detik"" terakhir.. itung"" salam perpisahan.. setelah bertahun tahun pake tokopedia.. makin kesini makin gak nyaman.. harga barang&ekpedisi gak bersaing sama orange.. ditambah BRI ceria mencret di bulan juli besok.. padahal dulu berfikir apk punya anak bangsa.. tapi makin kesini ya begitulah.",5,positif
belanja disini lebih murah 😁 barang sesuai bagus sesuai gambar,5,positif
kecewa banget,1,negatif
"Kecewa sekali, 3 Juni 2026, Saldo saya gopay saya hilang karena keterangan beli pulsa melalui aplikasi Tokopedia di akun saya. Dan akun dari tokped itu ambil sejumlah uang 2 kali. 500.000 dan 30.000, saya komplain ke aplikasi langsung ke tokped tapi tidak ada bertanggung jawaban yang bijaksana, akun saya malah di nonaktifkan. saya juga komplain ke gopay, saya akan review ulang dan dijaga keamanan. Dan kesalahan ini benar2 bukan di pihak saya, harus apa lagi kira2?",1,negatif
bagus,5,positif
BANYAK BANGET DISKONANNYA SUKAAAA💚💚💚,5,positif
"terlalu banyak notifikasi spam (udah bayar, udah transfer, bukti kirim, transaksi berhasil) padahal saya nggak transaksi apapun dan setelah di cek di aplikasi juga memang tidak ada transaksi",1,negatif
mantap,5,positif
"ribet, ambil uang susah top up susah, jangan sampai deh batalin pesanan. susah ambil uangnya",1,negatif
di kasih diskon tapi tidak bisa di beli,1,negatif
aku suka bgt pengiriman barang nya cpt dan murahhhhhh bgtt aku rekomen poll sih,5,positif
"bagus sih, cuma yang ditampilkan harganya murah, waktu mau check out malah mahal, contoh : beli barang yang di tampilannya harganya cuma 1k terus waktu mau check out malah 50k+ serasa dibohongi",5,positif
tidak bisa pakai voucher pengguna baru jelek,1,negatif
tokped estimasi datang nya lama x cokkk sumpah Demi apapun datangnya lama x itupun ngestuck mulu. masa harus nunggu 14 hari bisa paketnya datang gilak lama² udh habis uang hilang juga kesabaran cuih tokped niatnya mau pindah dari Shopee ke tokped eh tokped nya ngecewain sumpah! buat laporan pun gak membantu juga,1,negatif
"kecewa,voucher diskon pengguna baru tidak bisa di gunakan",1,negatif
sell Singapura,5,positif
ngasih promo pengguna baru ga bisa di pakai buat apa di adain promo,1,negatif
BAGUS BANGETTT,5,positif
saya suka dan dapat dipercaya,5,positif
cepat nyampenya,5,positif
good,5,positif
pengiriman nya bagust trs abang kurir nya temen ku😂,5,positif
"Aplikasi ribet, terlalu kaku, dan tidak fleksibel. tidak direkomendasikan untuk orang yang tak mau ribet.",1,negatif
gak ada cod dan gak ramah ongkir seandainya bisa kaya app oren bisa sepenuhnya aku bakal langsung disini apalagi ini app marketplace lokal sayang banget,1,negatif
saya suka produk Indonesia,5,positif
transaksi lebih cepat belanja pun mudah dan gampang banyak produk dengan harga ekonomis,5,positif
pelit gak dapet gratis ongkir,1,negatif
udah gak ada gratis ongkirnya,1,negatif
aplikasi lumayan oke tapi tidak dengan KURIRNYA,4,positif
tolong gratis ongkir kek apk oren,1,negatif
Gak suka banget bikin kesal waktu mau cekout selalu ada kendala,1,negatif
"jelek,promo tidak bisa dipakai",1,negatif
kirain beneran promo ternyata harga nya lebih mahal dr pada harga offline ngeri co di sini ongkir nya gak ngotak,1,negatif
saya mendukung aplikasi lokal buatan Indonesia,5,positif
promo pengguna baru ga bisa dipake aneh banget padahal udah ganti akun juga percuma,1,negatif
"apk kikir, ini beli barang atau ongkir, mending ke shoope",1,negatif
tokped anj,1,negatif
"bagus bgt saran aku di sini aja jgn di shopee pada fake semua ,dan saran aku tiap mau beli liat ratingnya aja + liat foto rating nya biar tau mana yang asli dan mana yang palsu,saat liat ratingnya kalau bisa yang beli lebih dari 100+ biar bisa di percayai",5,positif
Mau co voucher diskonnya kok ga bisa dipakai?,1,negatif
Vouchernya ga motong aneh,1,negatif
"apyaa, pas di keranjang hrganya cuma 498 perak, eh pas d CO harganya jadi 61.000 jujur bingung hrs gmna pdahal uda excited bgt..",3,netral
mantap,5,positif
promo ga bisa di pakai,3,netral
"aplikasi kikir diskon pengguna baru cuma gimick, berusaha jadi paling baik tapi nyata bukan kalangan baik, better aplikasi shopee",1,negatif
"tolong perbaiki ya, masa voucher pengguna baru nya ga bisa di pake",5,positif
katanya diskon di pencet pembayaran malah eror,2,negatif
mau pesen gak bisa terus heran,1,negatif
customer care sangat buruk. banyak tulisan pemenang penghargaan di tampang web nya.tapi customer service nya gak pernah balas chat. silahkan cek di facebook atau twitter mengenai sifat asli CS tokped,1,negatif
udh mau tutup kali ya tokopedia isi pulsa bisa gagal,1,negatif
"tolong dong diperbaiki, masa mau bayar pake e wallet nggak bisa dan promonya nggak bisa dipake",3,netral
bagus si,5,positif
Aplikasi SAMPAH.. !! Seller banyak penipu...!! Tak sudi lagi pake tokopedia & tik-tok. 11=12 !!,1,negatif
"bener bener fitur reffund dibuat gajelas, penarikan susah, proses lama, cs sulit, bot jelek. jauh sama shopee yang cepet masalah reffund",1,negatif
gjls msa promo pengguna barunya gabisa dipake,1,negatif
mantap diskonnya plus buanyak.... buanyak... buanyak barang jadi murah,5,positif
"kecewa sama Tokopedia, saya sama sekali tidak ada memesan apa apa dari aplikasi ini, tapi kok saldo saya hilang di sedot shop Tokopedia.. jadi tolong di bantu y",1,negatif
"aplikasi gak jelas masa mau co barang gak bisa ,gak bisa makek voucher disuruh beli tanpa makek voucher padahal baru dwlod du aplikasi",1,negatif
sangat bermanfaat tokopedia hebatt,5,positif
"sering sering kasih promo"" murah ya tokped✌🏼",5,positif
sangat membantu layanan cepat gercep .nyaman sekali,5,positif
pas,5,positif
"luvvvvvv bgttttttt pake tokped banyak bgtttt promo nyaaa🫰 biaya adm and yang lainnya juga kecil bgttttt harganya jauh bgt dari apk lain, terus juga setiap hari ada ajaa promonyaa🥹🫰 temen2 juga keracunan dan jadi download tokped jugaa😚 terimakasih tokped aku jadi sering belanja disini hihihi🤍",5,positif
keren bgt,5,positif
"aku cinta tokopedia, barang ori dan harga terjangkau 👍🏻👍🏻",5,positif
mantap,5,positif
bagus,5,positif
terlalu mahaaalll,1,negatif
kacau paylater di pakai orang lain gada solusi malah di suruh bayar,1,negatif
saya sangat sukaaaaaaaaaa,5,positif
mantap,5,positif
dukung produk Indonesia,5,positif
bagus sekarang sistemnya,5,positif
Amanah,5,positif
pembayaran melalui aplikasi lebih mudah,5,positif
nice,5,positif
"aku cinta Indonesia, #sellsingapura #buyinindonesia",5,positif
mantap banyak diskonnya,5,positif
sangat bagus,5,positif
banga buatan anak Indonesia,5,positif
oke baik,5,positif
lumayan bisa blnja kebutuhan di indo wlw sya dri LN,5,positif
menurut saya aplikasi nya bagus ortid lah gkkykapksblh,5,positif
mau komplen aja susah. beli barang baru di kirim bekas. ajukan komplain ga bisa di buka.anji memang apk ijo ini shopee komplen mudah,1,negatif
suka deh,5,positif
"aplikasii nya bagus dan potongan ongkir nya murah, terus banyak barang barang bagus juga dan banyak diskon voucher atau potongan harga, aku suka banget belanja di apk ini karna murah murah semua dan tidak banyak iklan",5,positif
"1, aplikasinya sering eror, 2, jasa pengiriman tidak bisa di tetukan pembeli, ongkir gx masuk akal,..tidak swperti toko oren, kalau mau banyak penguna harusnya lebih di benahi lagi",3,netral
bagus banget,5,positif
good,5,positif
gampang dan keren,4,positif
bagus,5,positif
aplikasi yg bagus,5,positif
"voucher pengguna baru ga bisa digunakan, mana ga ada gratis ongkir lagi. mending pake apk oren",1,negatif
"aplikasi nya ga jelas, akun baru 3 hari ga di buka buka, pas di buka ga bisa di pake buat belanja, di tanya lewat customer care jawaban terkena masalah, sedangkan akun baru belum pernah di pake belanja, tau tau kena masalah, di tanya masalah nya, malah jawab demi keamanan sistem tidak bisa memberitahu",1,negatif
"MALES BANGETTTT, udah mah nganu data nya lama, + voucher gabisa dipake & selalu gangguan tiap mau checkout. SEBEL BANGET, buang buang waktu! ongkir kemahalan tuhh",1,negatif
gak pernah kasih kode otp ke orang sama gak pernah buka link gak jelas kok bisa ya akun saya dipake sama orang?,1,negatif
"letsgooo, lebih baik lagi ke depannya dan makin rapihhhhh.",5,positif
mantap,5,positif
ok,5,positif
Kode verifikasi ngk di kirim2 ngk bisa login lol,1,negatif
penipu di bilangnya instan 3 jam nyatanya barang ga dikirim kirim akhirnya duit orang ngendep di tokopedia cara kotor nyari duit penjual di tokopedia banyak fiktif udah pesen barang ga dikirim aplikasimaenan ini mah,1,negatif
"ini aplikasi pengganti shoppe, saran ku kalo mau beli barang di tokopedia aja",5,positif
Refundnya lama sekali. Harus nunggu dua hari.,5,positif
"Hati hati, banyak penipuan di tokopedia dan tidak bisa di bantu oleh customer carenya",1,negatif
aman dan terpercaya c menurut aku,5,positif
"APK JELEKKKK GABISA CO JELEKK,HAPUS INI APK",1,negatif
sangat baik,5,positif
bagus untuk shoping dan murah,5,positif
"baru daftar akun, trs mau gunain voucher nya kan tapi gabisa pdhl voucher masih berlaku, udah nyoba di toko mana aja tetep gabisa, tolong ya perbaiki lagi🙏🏽",2,negatif
bagusss,5,positif
"aplikasi cacat, aneh, vouchernya masa gabisa dipake teruss buat apa lu ngadain event.",1,negatif
bagus,5,positif
"mohon maaf kalau aplikasi saya hapus, di karenakan memori nya pada nggak cukup, di suruh update terus!!!!🙏🙏",5,positif
bagus sekali ada barang barang langka nyaa,5,positif
"baguss BANGET??!!!! ga nyangka aku ikut #sellsingapore dan aku coba tokopedia baguss bangettt harga terjangkau, barang sampe rumah tidak ada yang rusak baguss dehh kembangkan teruss ADMINYA TOKOPEDIAA!!! 🤩🥰",5,positif
bagus,4,positif
good,5,positif
mantap,5,positif
"APK ga jelas, gimana mau ngalahin oren? sistem diskon pengguna baru aja ga nyangkut nyangkut, padahal semua syarat udah memenuhi tapi tetep aja ga ada potongan apapun (dan ternyata banyak juga yang ngalamin). hadeh maklum sih aplikasi buatan lokal emang selalu aja kalah, sayang bgt.",1,negatif
gg ada gratis ongkir gg bisa di gunakan gratis ongkirnya,1,negatif
bagus,4,positif
"aplikasi rusak,co ga bisa pasang alamat di bilang ga bisa antar ke alamat itu ya kali saya pindah rumah cuma untuk paket,di kasih diskon banyak tapi ga ada yg bisa di pake, setiap hari spam notifikasi diskon padahal ga bisa di pake",1,negatif
aplikasi di sy sedang gangguan. knp ya?,5,positif
puas,5,positif
pada waktu pengiriman barang pesanan harus sesuai dengan permintaan konsumen,5,positif
sangar baguss,5,positif
vocer tidak bisa dipakai..?,1,negatif
"aplikasi edan, status tracking nya selalu error, dan juga metode pembayaran codnya selalu ga bisa, padahal saya stiap pembelian selalu sya bayar tidak ada cancel atau pembatalan, dan juga sudah sesuai prosedur pembelian cod minimal seminggu 2x, tpi tetap aja ga bisa cod, lbih baik pindah k olshop yg lain",1,negatif
mayan lh. .,4,positif
"untuk ongkir masih mahal banget, kalok diubah seperti toko Oren pasti banyak yang pindah kesini deh",4,positif
baguss,5,positif
paket sering tertukar dan selalu terlambat tidak sesuai dengan estimasi,1,negatif
makasih,5,positif
"good, dukung terus aplikasi lokal",5,positif
banyak promo yang menarik,5,positif
sampai saat ini lancar. semoga terus lancar,5,positif
bisakah belanja dari luar negeri?,5,positif
josjissssss,5,positif
"dari buka lapak lari kesini tp lama kelamaan aplikasi ini lebih mirip ikut kompeni,,sbgai seller potongannya banyak,,jd buyer gak minim promo dan gratis ongkir..klo mau dpt promo itupun harus langganan yg mhal..plis makin kesini makin kesana.",1,negatif
Banyak seller penipu. Buat yg mau download dan belanja disini mending ga usah dari pada kena tipu seperti saya.,1,negatif
good,5,positif
sangat enak belanja di tokopedia,5,positif
bagus membantu,5,positif
irit belanja di tokped,5,positif
pelayanan nya kurang banget tolong diperbaiki,1,negatif
mau buka menu paylater gagal terus.,1,negatif
bagus harga barang murah dan cocok menurut saya Tokopedia wortit,5,positif
baru buat akun malah voocer nya ga bisa di klaim mala tulisanya akun mu gak memenuhi S&K gak jelas,1,negatif
kasih diskon yg banyk kek shopi tu,5,positif
Mantap Dapat Promo Terus Dari Tokopedia,5,positif
"gimana sih, mau pesen malah g bisa (Oops, terjadi kendala. Transaksi tidak dapat diproses. (1)",1,negatif
untuk pengiriman ke kalimantan ongkir ny sangat mahal,1,negatif
bagus,5,positif
"ni apk kikir, ngasih diskon barang ga bisa di co, kan tolol, males gua belanja di sini",1,negatif
mantappppp,5,positif
mantap,5,positif
lag,1,negatif
Bagus,5,positif
"sebenarnya saya berterima kasih, mau ngasih bintang 5 dengan tokopedia, tapi tolonglah, perbaiki aplikasinya, masa saya beli barang yang jelas jelas tertera barangnya ada, tapi saya sudah nunggu berhari hari barangnya masih diproses, kadang suka kayak gitu, tolong dong tokopedia, lebih benerin lagi, jangan kayak gitu, barang masih tersedia, tapi diproses terus berhari hari sampe batal otomatis",3,netral
"aplikasi tlol, ngasih diskon penggunaa baru tp gabisa dipake samsek, udah coba ganti alamat sm metode pembayarannya pun ttp sm aja.",1,negatif
"Aplikasi aneh, ada promo tpi ga bisa dipake. Harusnya klo ga bisa ya jangan dimunculin di semua produk",1,negatif
kenapa tidak bisa cod?padahal baru pertama kali menggunakan Tokopedia trs kalau ongkir jangan kemahalan,2,negatif
"bagus banget sih gacor, aman, gak kayak shope kalo ngasih iklan",5,positif
"aplikasi gajelas, disitu ada promo pas dipake ngadadak ada kendala hadehhh!!",1,negatif
udah beberapa bulan nggak ada gratis ongkir. setiap beberapa hari selalu saya cek selama berbulan2,1,negatif
vouchernya gak bisa di pake percuma dikasih voucher saat di tap centang kembali gak bisa di centang percuma,2,negatif
aplikasi ga jelas,1,negatif
bagus sih rekomenlahh barang pengiriman ga lemot ga ribet,5,positif
cintai produk lokal,5,positif
GG banyak diskon nya,5,positif
sangat bagus,5,positif
bagus,5,positif
👍,5,positif
untuk admin ini gimana ya saya dapet promo diskon untuk pengguna baru saya sampe top up ovo cuma buat belanja di Tokopedia dan setelah saya mau beli bahkan diskon yang waktu nya masi 6 jam tapi voucher nya ga bisa di pake kecewa udah top up tapi masi ga bisa buang' uang admin pliss lebih di perbaiki kalo seperti ini orang' bisa kecewa seperti saya mohon maaf kalo bicara saya kurang sopan 🙏,1,negatif
jangan di download pengguna baru potongannya 99% tapi voucher nya gabisa dipake,1,negatif
mantap,5,positif
kalo mau pesen pasti gak bisa di pencet /error habis itu awalan nya harga nya murah pas mau pesen harga nya berubah lagi,1,negatif
💙,5,positif
benerin fiturnya lah kocak,1,negatif
ngasih diskon nepu ketika dicekout promo gabisa dipakai hahahaha tokopedia scam🤣,1,negatif
aplikasi ini bagus dan mudah digunakan,5,positif
Semua Marketplace Tuh Sama Saja,1,negatif
"Tolong Tokopedia benah lagi untuk bagian membeli obat yg memerlukan resep dan konsultasi. Bagian konsultasi nya jangan di buat pas bagian page produknya tapi pas checkout saja. ini sangat menggangu dan menyebalkan, saya hanya ingin melihat deskripsi produknya malah harus konsultasi kocak, menurut saya logika aplikasinya disini sangat rancu. Tolong diperbaiki lagi karena susah untuk melihat deskripsi dan jumlah obatnya",1,negatif
"Gimik voucher pengguna baru, tapi gak bisa di pake buat apa",1,negatif
marketplace terbaik buat beli elektronik aokwkwkwkwk,5,positif
voucher palsu. wajibbintang 1.,1,negatif
banyak diskon yang murah,5,positif
gak bisa pake promo pengguna baru,1,negatif
gokil,5,positif
"bagus ci, cuma kadang2 belanja di tokped pas lagi dapat discount besar, penjual nya tidak konsisten udh nunggu Lama barang ga datang,, ga tau nya di batalkan sepihak",5,positif
Duolingo versi shoppe💝,5,positif
SUPPORT E-COMMERCE LOKAALLL,5,positif
bagus datang nya cepet Mulu+barang sesuai Mulu godd,5,positif
"saya ingin merubah nomor handphone saya, tetapi aplikasi error dana saya tertahan",1,negatif
aplikasi busuk aku udah pesen barang udah di bayar masak menunggu kurir terus tulisanya,1,negatif
Bagus,5,positif
Indonesia emas,5,positif
"nambahin alamat dari teman ga bisa, ngebug setiap di simpan tiba tiba hilang ,aplikasi aneh udh yu pindah aja disebelah",1,negatif
BUSUK,1,negatif
good,5,positif
apk ga niat kasih diskon pengguna baru,3,netral
#Cintai produk lokal 🥰,5,positif
"semenjak kerjasama tiktod jadi aplikasi toIoI lu ye, narik saldo nunggu 2 hari, voucher diskon lu potong ke pendapatan, ngurus ini itu ribet, mau lu apa sih pIenger",1,negatif
gagah,5,positif
Keren,5,positif
"Siipp, tp tidak bisa update utk lihat real pembelian customer lain via hp huawei",5,positif
"dulunya pelanggan setia Tokopedia, sekarang mau kembali lagi ke toko pedia,limit paylater 8 juta tapi pas mau pesan barang paylater tidak bisa di gunakan, tidak jadi berlangganan di toko ini,",1,negatif
ada gangguan dirumah toped..gak ada gratong ke sumatera.apk t4i..,1,negatif
ok wait,5,positif
Pembeli merasa terbebani dan penjual untung tipis. Ujung-ujungnya... platform yg diuntungkan. Sudah saatnya aku buat web penjualan sendiri,1,negatif
bagus sih aplikasinya cuman ongkir nya saja yang terlalu mahal semoga gratis ongkir nya jadi murah seperti shoppe,4,positif
sukakkk,5,positif
bagus,5,positif
aplikasi yang bagus,5,positif
"apk ga jelas, gabisa buat co",1,negatif
"gaje ribet, gk bisa ngisi alamat rumah",1,negatif
kenapa saya tidak bisa ubah nomor telepon saya,2,negatif
voucher nya scam gak ada yg bisa dipake 🤯🤯🤯,3,netral
selalu delay dalam pengiriman,1,negatif
"belanja mudah, hemat, dan aman pula....",5,positif
"pengiriman lama bngt bisa 5-6 hari, kadang dh sampe di kota tapi g di anter². trus ad juga toko² yg g ad info ny masih aktif atau g, dh 2 kli pernah mesn g dikirim² ternyata penjualny blum update apk hbis itu produkny malah g ad lagi",2,negatif
#BUYINDONESIA #SELLSINGAPORE indonesia merdeka ⚡,5,positif
"2 KALI PAKET UDAH DI TF GA DATANG"". GA BISA DI PERCAYA BANGET",1,negatif
bagus banget,5,positif
sangat buruk,1,negatif
apk aneh voucher nya kaga bisa kepaks. udah respon nya lama banget.. pokoknya aneh nih apk,1,negatif
"baru mulai bergabung ni,kl bagus kt lanjut...",2,negatif
"mana gratis ongkir,pelit bgt",5,positif
apakah ini kayak shoopi,5,positif
buy Indonesia,5,positif
tolong harga dari Tokopedia dimurahin kayak di shopee.,3,netral
dukungg produk lokallll indonesia prideee🔥🔥🔥,5,positif
bagus,5,positif
diskon gabisa dipakai,1,negatif
kurang diskon aja #BUYINDONESIA,5,positif
g tahu hp nya atau aplikasi nya sok lemot😆,3,netral
rekomennn dahhh,5,positif
W tokopedia,5,positif
banyak tipu tipu,1,negatif
murah' barangnya,5,positif
nah ini,5,positif
bagus bgttt selalu dpt diskon,5,positif
"baguss, banyakin voucher gratongnya dong tokped!",5,positif
ngga ada voucher penguna baru,1,negatif
mau pindah dari shopee ke tokopedia . tapi gratis ongkirnya ga ada untuk item item murah. malah yang sering gratis ongkir di tiktok. ditambah kurirnya lama ga punya garansi telat.,2,negatif
"ongkir mahal masa beli 20 ribu jadinya 93 ribu padahal deket demak pati ,enak beli di shopee ongkir murah",1,negatif
bagus mantap,5,positif
Aplikasi nya bagus ga kaya yg itu soalnya SELL SINGAPORE,5,positif
Tokopedia Keren,5,positif
buy Indonesia,5,positif
iklan nya gentayangan,1,negatif
bagus,5,positif
bagus,5,positif
cintai pruduk lokal,5,positif
BUY INDONESIA SELL SINGAPORE,5,positif
BAGUS,5,positif
banyak promo,5,positif
aplikasi nya bagus,5,positif
dukung aplikasi lokal!!!,5,positif
"saya bingung kenapa transaksi saya gagal tapi saldo sudah terpotong ,saya pikir dari Bank pembayarannyanyang bermasalah ternyata dari aplikasi Tokpednya yang masalah , mau minta tolong ke siapa ga ada call centernya , minta solusinya dong kak biar saldo saya bisa kembali",1,negatif
bagus,5,positif
apaan vocher pengguna baru gabisa di pake,1,negatif
semoga lebih banyak lagi discount dan voucher .dan bebas ongkir tanpa batas,5,positif
bagus barang nya pada aesthetic,5,positif
mantap,5,positif
aplikasi idiot. daftar kok di tolak? alasannya: alamat tidak ada di peta? apa kota ku bisa lenyap?,1,negatif
transaksi gagal mulu,1,negatif
"bnyk yg mantap, buat kedepan klo udh agak profit bisa kasih iklan klo di Tokopedia bnyk yg real ga tipu tipu, bosen gw liat iklan di mana² shoppe mulu",5,positif
Sangat bagus,5,positif
sulit sekali untuk pembayaran menggunakan promo,1,negatif
"GA BECUS KURIR KURIRNYA , MASAK SUDAH 3 KALI SAYA PESEN TETEP DI BATALIN SENDIRI SAMA KURIRNYA, DENGAN ALASAN ""PAKET TIDAK DI TERIMA"" PADAHAL SAYA NUNGGU, KURIRNY AJA YANG NGGAK BECUS",1,negatif
Tokopedia Aplikasi Terbaik 👍🏻,5,positif
Kenapa harus pake KTP?,3,netral
prcuma kasi promoo tapi gak bisa di gunakann,1,negatif
bagus,5,positif
"Bintang 1! Harga diskon cuma buat mancing. Pas checkout balik 72rb. Akun baru dituduh akun ganda. Mending Shopee 20rb udah dapet. PHP terus, kapok!, baru juga bikin satu akun eh malah dikira ganda akun ngaco ni tokped.",1,negatif
"Ribet banget sekarang buka toko di sini kebanyakan aplikasi buat seller mematikan UMKM ini aplikasi, lebih enak buka toko di shopi,gampang setting setingnya,gak ribet",1,negatif
maksimalkan aplikasi nya seblm pengujung ramai,5,positif
suka banget belanja di Tokopedia,5,positif
buy Indonesia sell singapore,5,positif
"dikasih promo pengguna baru tapi malah gabisa digunain, terus guna nya apa? gjls",2,negatif
"bikin emosi tahan tahan dana transfer berhari2, pusat bantuannya aja benerin dlu pelayanannya",1,negatif
6 kali orderan saya di batalkan sistem. kenapa sekarang belanja di tokped sering dapet penjualan yang cuek dan tidak responsif dalam melayani pembeli. masa cating aja gak di bales-balas. dan terpaksa order malah di cekin dan akhirnya nunggu lama di batalin sistem. asli kecewa,1,negatif
Aplikasi yang sangat bagus dan juga mendukung peningkatan ekonomi Indonesia,5,positif
buy Indonesia,5,positif
"percuma ad promo untuk pengguna baru,tapi ga bisa dipake cod aplikasi aneh mending disebelah aj",1,negatif
buat naikin rupiah indonesia,5,positif
"tolong apknya dikasih cod/byr ditempat,banyakin promo gratis ongkir,dijamin bakalrame ni tolo,banyakin promo agar orang"" tergiur",5,positif
mantafff,5,positif
apk nya bagus hidup indonesia🇮🇩🇮🇩,5,positif
"ongkir mahal, pas mo pake promo pengguna baru malah g bisa, beda sama iklannya",1,negatif
jempoll,5,positif
merugikan driver/kurir,1,negatif
pokoknya BESTT MADE IN INDONESIA🇮🇩💓,5,positif
cintai produk lokal,5,positif
buy indonesia!!!,5,positif
"Sekarang kita beralih ke toko pedia, melihat kekacauan Sekarang ini, kita cintai produk lokal, hapus Shopee yang tidak berguna itu",5,positif
TOP.,5,positif
bagus,5,positif
saya dukung bg,5,positif
"gak bisa co lewat dana, padahal sudah bener semuanya, kecewa banget, kalok gak niat mending gak usah dicantumin lewat itu dana.",1,negatif
"terlalu lama batas pengembalian dana batal otomatisnya tlg dipersempit lagi waktu batal otomatisnya jdkan 3hari aja jgn sampai 5hari, dgn demikian penjual akan LBH bertanggung jawab lagi.",1,negatif
lumayan,5,positif
dikasih voucher promo pengguna baru eh ga bisa dipake. Pas mau klik bayar sekarang terjadi kendala mulu,1,negatif
bagusss,5,positif
yaaaa lumayan bagus sih yaaaa saya kasih bintang 4 dehhhh👍👍👍👍,4,positif
gokil,5,positif
recommended sangat bagus,5,positif
buyyyy Indonesia :),5,positif
good apk,5,positif
"pengalaman yg sangat mengecewakan karena lebih memihak kepada penjual, pembelian shaker & status dikirim kurir , setelah menanti ada keterangan gagal kirim oleh kurir & dikembalikan kepada penjual, padahal saya sdh lama langganan toped member VIP belum pernah mengalami kejadian serupa , saya konfirmasi ke penjual dan disarankan untuk reorder lg dengan harga jauh lebih mahal , saya hubungi CS toped tp tdk ada jalan keluarnya , klo spt ini lama ² anda akan kehilangan customer setia anda",1,negatif
saya kasih 5 bintang sebagai bentuk dukungan,5,positif
"GUYSSS AYOO DONLOT APK TOKPED,BNYAK DISKON NYA,DI JAMIN KALIAN SEMUA SUKAAAAA,,,SUKAA POKONYA APK INII😍😍",5,positif
bagus,5,positif
"aplikasi jadi sampah , kalah sama aplikasi Oren sebelah . bisa bangkrut lama lama",1,negatif
good👍,5,positif
hebat,5,positif
enggak jelas knl,1,negatif
"kupon pengguna baru gk bisa di pakai gimana sihh dah tau ""pengguna baru "" bukannya kasih kesan yang bagus malah begini",1,negatif
aplikasi nya bagus banyak diskon,5,positif
"dukung aplikasi digital Indonesia, uninstall shopee dan lazada",5,positif
mantap,5,positif
"Masa gabisa pakai promo untuk pengguna baru sih, tulisannya 'terjadi kendala, tidak dapat diproses' mulu. Males jadinya",1,negatif
katanya promo 99%nah kan harganya jadi murah pas di pencet malah promo tidak berlaku gimana dah,2,negatif
"bagus banget, sangat membantu",5,positif
keren,5,positif
"Semakin ke sini semakin banyak seller menjual barang palsu dan bermasalah, khususnya kategori laptop dan komputer. Proses retur barang sangat lama dan riber. Saya di Malang belanja di seller Jakarta, barangnya cacat. Proses komplain hingga dana kembali, total memakan waktu 10 hari. Bayangkan, harus pusing selama 10 hari gara-gara kesalahan yang dilakukan seller. Dana 2 juta lebih pun macet di Tokopedia selama itu. Belum lagi prosesnya ribet.",1,negatif
"bonus ga cair, ditanyain alasannya ga bisa transparan. kecewa sih padahal dulu lumayan sering beli di tokped karena banyak promo cb",2,negatif
"aplikasi yang bagus, tidak ada error atau apapun itu, saya bangga menggunakan Tokopedia karena Tokopedia berasal dari Tanah air kelahiran saya",5,positif
mantap,4,positif
tokopedia nie bosss,5,positif
Dapat voucher tapi ga bisa dipakai,1,negatif
"tolong pembayaran yang pengguna baru bisa cod,ga semua orang punya e-wallet",4,positif
enak buat berbelanja,5,positif
untuk pembelian pengguna baru. ongkirnya gak ngotaaaaaak,2,negatif
sukses dan maju terus,5,positif
voucher 99% penipuan gak bisa di pakai,1,negatif
"apaan coba mahal banget gitu harga,buat akun baru dapet promo tapi gabisa dipake kocak buat apa ngasih promo kalo GK niat🤣,apk gajelas",1,negatif
buat apa lu nyedian fitur komplain tapi yang dibuat rugi malah customer. dahlah uninstal aja mending ke apk sebelah yg lebih mihak customer!!!,1,negatif
gaskenn,5,positif
kok gak bisa COD iya,4,positif
mantap produk Indonesia,5,positif
lumayan lancar setelah ganti HP ternyata dulu faktor HP nya yg lemot,4,positif
"eh ini aplikasi eror mulu yang jelas dong,",1,negatif
"voucher pengguna baru scam gbs dipake, blm jg setengah jam.",1,negatif
"Saya telah menginstal aplikasi Tokopedia karena terdapat promo diskon 99% untuk pengguna baru serta gratis ongkir. Namun, ketika saya hendak melakukan pembelian, promo tersebut ternyata tidak dapat digunakan dan biaya ongkir tetap dikenakan. Hal ini tentu cukup mengecewakan karena tidak sesuai dengan informasi promosi yang ditampilkan. Saya berharap Tokopedia dapat meningkatkan kualitas pelayanan dan memastikan bahwa promosi yang ditawarkan dapat digunakan sesuai ketentuan yang berlaku.",4,positif
oke,5,positif
